# TazUO Holiday Edition - music map
#
# Which music plays where, when the server says it has none.
#
# Converted from the region data of the 1998 Ultima Online Demo server
# (uogolddemo/regions.txt). Values are Origin's, unchanged - one track per
# area, exactly as authored. Nothing here is invented.
#
# Rectangles are applied largest first, so the SMALLEST area covering a spot
# wins. That is the rule the 1998 server used (CBlockManager, 0x0042FD01).
#
# tracks : one or more music indices, comma separated. Indices are the
#          canonical 0-48 set; which FILE each one plays is decided by the
#          Config.txt of whichever music era is selected. To mute or swap a
#          track, edit that Config.txt - not this file.
#
# map    : 0 = Felucca, 1 = Trammel (a copy of Felucca, so it shares the data)
#
# map	x	y	width	height	zmin	zmax	tracks	name
0	5120	0	1024	2304	-127	127	26	DUNGEONS
1	5120	0	1024	2304	-127	127	26	DUNGEONS
0	3848	1564	1270	1480	-127	127	32	OCEAN
1	3848	1564	1270	1480	-127	127	32	OCEAN
0	10	2032	408	2054	-127	127	32	OCEAN
1	10	2032	408	2054	-127	127	32	OCEAN
0	418	2386	374	1700	-127	127	32	OCEAN
1	418	2386	374	1700	-127	127	32	OCEAN
0	2688	2362	642	955	-127	127	32	OCEAN
1	2688	2362	642	955	-127	127	32	OCEAN
0	2688	1436	1160	494	-127	127	32	OCEAN
1	2688	1436	1160	494	-127	127	32	OCEAN
0	2688	3640	1160	434	-127	127	32	OCEAN
1	2688	3640	1160	434	-127	127	32	OCEAN
0	4302	164	818	600	-127	127	32	OCEAN
1	4302	164	818	600	-127	127	32	OCEAN
0	2234	2400	454	820	-127	127	32	OCEAN
1	2234	2400	454	820	-127	127	32	OCEAN
0	100	1280	988	321	-127	127	27	DARKFOREST
1	100	1280	988	321	-127	127	27	DARKFOREST
0	3848	764	384	800	-127	127	32	OCEAN
1	3848	764	384	800	-127	127	32	OCEAN
0	3848	3044	500	598	-127	127	32	OCEAN
1	3848	3044	500	598	-127	127	32	OCEAN
0	4746	764	372	800	-127	127	32	OCEAN
1	4746	764	372	800	-127	127	32	OCEAN
0	792	2760	224	1326	-127	127	32	OCEAN
1	792	2760	224	1326	-127	127	32	OCEAN
0	2262	1301	420	692	-127	127	32	OCEAN
1	2262	1301	420	692	-127	127	32	OCEAN
0	2882	1930	642	418	-127	127	32	OCEAN_2
1	2882	1930	642	418	-127	127	32	OCEAN_2
0	10	245	648	390	-127	127	32	OCEAN
1	10	245	648	390	-127	127	32	OCEAN
0	10	10	1071	234	-127	127	32	OCEAN
1	10	10	1071	234	-127	127	32	OCEAN
0	3083	3318	765	322	-127	127	32	OCEAN
1	3083	3318	765	322	-127	127	32	OCEAN
0	4880	3044	238	945	-127	127	32	OCEAN
1	4880	3044	238	945	-127	127	32	OCEAN
0	3848	0	1272	164	-127	127	32	OCEAN
1	3848	0	1272	164	-127	127	32	OCEAN
0	2287	228	401	511	-127	127	27	FORESTNEARTOWN_MINOC
1	2287	228	401	511	-127	127	27	FORESTNEARTOWN_MINOC
0	3330	2930	518	388	-127	127	32	OCEAN
1	3330	2930	518	388	-127	127	32	OCEAN
0	3490	496	358	504	-127	127	32	OCEAN
1	3490	496	358	504	-127	127	32	OCEAN
0	1544	3680	432	404	-127	127	32	OCEAN
1	1544	3680	432	404	-127	127	32	OCEAN
0	714	2032	320	529	-127	127	27	FORESTNEARTOWN_SKARA_BRAE
1	714	2032	320	529	-127	127	27	FORESTNEARTOWN_SKARA_BRAE
0	3530	0	318	496	-127	127	32	OCEAN
1	3530	0	318	496	-127	127	32	OCEAN
0	713	263	441	355	-127	127	27	DARKESTFOREST
1	713	263	441	355	-127	127	27	DARKESTFOREST
0	1751	1603	511	305	-127	127	32	OCEAN
1	1751	1603	511	305	-127	127	32	OCEAN
0	842	923	451	338	-127	127	27	FORESTNOTNEARTOWN_3
1	842	923	451	338	-127	127	27	FORESTNOTNEARTOWN_3
0	3265	745	210	690	-127	127	32	OCEAN
1	3265	745	210	690	-127	127	32	OCEAN
0	5	1606	344	421	-127	127	32	OCEAN
1	5	1606	344	421	-127	127	32	OCEAN
0	1552	781	260	499	-127	127	27	FORESTNOTNEARTOWN_1
1	1552	781	260	499	-127	127	27	FORESTNOTNEARTOWN_1
0	1552	229	203	606	-127	127	27	FORESTNEARTOWN_YEW
1	1552	229	203	606	-127	127	27	FORESTNEARTOWN_YEW
0	3064	822	200	613	-127	127	32	OCEAN
1	3064	822	200	613	-127	127	32	OCEAN
0	2234	2032	330	368	-127	127	32	OCEAN
1	2234	2032	330	368	-127	127	32	OCEAN
0	1976	3680	712	166	-127	127	32	OCEAN
1	1976	3680	712	166	-127	127	32	OCEAN
0	637	1781	468	251	-127	127	31	PLAINS
1	637	1781	468	251	-127	127	31	PLAINS
0	2288	739	401	291	-127	127	27	FORESTNOTNEARTOWN_3
1	2288	739	401	291	-127	127	27	FORESTNOTNEARTOWN_3
0	1542	2865	249	449	-127	127	29	JUNGLE_1
1	1542	2865	249	449	-127	127	29	JUNGLE_1
0	4089	3990	1029	106	-127	127	32	OCEAN
1	4089	3990	1029	106	-127	127	32	OCEAN
0	3848	3642	240	454	-127	127	32	OCEAN
1	3848	3642	240	454	-127	127	32	OCEAN
0	2816	1012	248	423	-127	127	32	OCEAN
1	2816	1012	248	423	-127	127	32	OCEAN
0	1286	2865	256	397	-127	127	29	JUNGLE_0
1	1286	2865	256	397	-127	127	29	JUNGLE_0
0	1227	2561	315	304	-127	127	27	DARKERFOREST_2
1	1227	2561	315	304	-127	127	27	DARKERFOREST_2
0	842	618	312	305	-127	127	27	DARKERFOREST_1
1	842	618	312	305	-127	127	27	DARKERFOREST_1
0	1791	2928	404	228	-127	127	31	PLAINS_3
1	1791	2928	404	228	-127	127	31	PLAINS_3
0	2816	648	249	365	-127	127	22	CITY_VESPER
1	2816	648	249	365	-127	127	22	CITY_VESPER
0	1600	155	276	315	-127	127	31	PLAINS
1	1600	155	276	315	-127	127	31	PLAINS
0	1155	1280	658	128	-127	127	27	FORESTNEARTOWN_BRITAIN_1
1	1155	1280	658	128	-127	127	27	FORESTNEARTOWN_BRITAIN_1
0	2313	4	375	224	-127	127	31	PLAINS
1	2313	4	375	224	-127	127	31	PLAINS
0	1876	210	321	260	-127	127	27	DARKESTFOREST_2
1	1876	210	321	260	-127	127	27	DARKESTFOREST_2
0	10	893	224	368	-127	127	32	OCEAN
1	10	893	224	368	-127	127	32	OCEAN
0	1552	470	260	311	-127	127	31	PLAINS
1	1552	470	260	311	-127	127	31	PLAINS
0	3338	2390	244	329	-127	127	27	FORESTNEARTOWN_OCLLO
1	3338	2390	244	329	-127	127	27	FORESTNEARTOWN_OCLLO
0	3344	2745	486	163	-127	127	27	FORESTNEARTOWN_OCLLO_2
1	3344	2745	486	163	-127	127	27	FORESTNEARTOWN_OCLLO_2
0	1812	470	223	331	-127	127	27	DARKESTFOREST_1
1	1812	470	223	331	-127	127	27	DARKESTFOREST_1
0	2092	1030	294	250	-127	127	27	FORESTNEARTOWN_COVE
1	2092	1030	294	250	-127	127	27	FORESTNEARTOWN_COVE
0	2030	3314	206	346	-127	127	29	JUNGLE_5
1	2030	3314	206	346	-127	127	29	JUNGLE_5
0	1303	3670	189	375	0	127	12	CITY_JHELOM
1	1303	3670	189	375	0	127	12	CITY_JHELOM
0	3064	16	426	166	-127	127	31	PLAINS_WINDMERE
1	3064	16	426	166	-127	127	31	PLAINS_WINDMERE
0	1419	1510	262	268	-10	127	9	CITY_BRITAIN
1	1419	1510	262	268	-10	127	9	CITY_BRITAIN
0	1034	2304	262	257	-127	127	27	FORESTNOTNEARTOWN_5
1	1034	2304	262	257	-127	127	27	FORESTNOTNEARTOWN_5
0	5376	8	256	256	-127	127	26	DUNGN_SHAME
1	5376	8	256	256	-127	127	26	DUNGN_SHAME
